load,tempc,year,month,day,hour
52.2,17.01358139,2011,1,1,0
49.9,22.67571453,2011,1,1,1
46.5,17.5049536,2011,1,1,2
42.5,22.30157476,2011,1,1,3
39.3,15.90543833,2011,1,1,4
36.8,16.18816156,2011,1,1,5
32.6,16.58725643,2011,1,1,6
29.3,18.45996549,2011,1,1,7
29.8,12.64269638,2011,1,1,8
31.8,8.842658652,2011,1,1,9
34.4,9.293951187,2011,1,1,10
37.4,12.1069981,2011,1,1,11
40.2,10.36492905,2011,1,1,12
42.2,10.03350337,2011,1,1,13
43,9.188511085,2011,1,1,14
42.6,17.84662737,2011,1,1,15
41.7,15.4590136,2011,1,1,16
41.1,20.51550545,2011,1,1,17
40.7,18.21151711,2011,1,1,18
40.9,13.01197793,2011,1,1,19
42.4,23.7279837,2011,1,1,20
53.2,20.51037787,2011,1,1,21
55.9,19.17101812,2011,1,1,22
53.2,13.28524039,2011,1,1,23
48,9.384600952,2011,1,2,0
42.7,8.609726157,2011,1,2,1
38.7,7.050354579,2011,1,2,2
36.3,4.269265841,2011,1,2,3
34.9,7.023485654,2011,1,2,4
34.4,4.321211347,2011,1,2,5
32.1,7.400863003,2011,1,2,6
29.9,3.553217268,2011,1,2,7
33,3.643903105,2011,1,2,8
37.7,-0.15671987,2011,1,2,9
43.1,1.206167489,2011,1,2,10
47.6,3.972959303,2011,1,2,11
49.7,1.115780029,2011,1,2,12
52.2,2.377889209,2011,1,2,13
53.1,5.0887022,2011,1,2,14
52.3,7.180454698,2011,1,2,15
51.1,7.577972833,2011,1,2,16
50.4,13.17872529,2011,1,2,17
50,13.4989519,2011,1,2,18
50,11.83715005,2011,1,2,19
52.2,18.74091076,2011,1,2,20
62.9,13.35583329,2011,1,2,21
63.7,14.54810841,2011,1,2,22
58,10.17132206,2011,1,2,23
50.4,8.306732623,2011,1,3,0
43.5,6.202608019,2011,1,3,1
39.3,6.617034894,2011,1,3,2
37.2,3.113055934,2011,1,3,3
36.7,2.151426286,2011,1,3,4
36.7,4.625461235,2011,1,3,5
37.4,8.265072103,2011,1,3,6
42,3.876461207,2011,1,3,7
50.1,0.871764444,2011,1,3,8
57.1,4.347345675,2011,1,3,9
63.3,-1.176396237,2011,1,3,10
67.6,4.867011241,2011,1,3,11
70,3.680395898,2011,1,3,12
71.7,4.928141373,2011,1,3,13
72.7,6.481512415,2011,1,3,14
72.6,7.523417732,2011,1,3,15
72.1,13.55885189,2011,1,3,16
70,9.548489985,2011,1,3,17
66.1,14.21880097,2011,1,3,18
63.3,13.34721989,2011,1,3,19
64.2,15.29416841,2011,1,3,20
72.5,10.79238879,2011,1,3,21
70.4,10.63067096,2011,1,3,22
63,9.024709234,2011,1,3,23
54.2,8.335901898,2011,1,4,0
47.3,12.18396013,2011,1,4,1
43.3,14.97700842,2011,1,4,2
41,14.18358198,2011,1,4,3
40.5,10.76659495,2011,1,4,4
40.4,7.119070527,2011,1,4,5
42,5.509506721,2011,1,4,6
46.1,13.98375732,2011,1,4,7
53.8,8.109069238,2011,1,4,8
59.1,10.9424434,2011,1,4,9
63.8,10.57427076,2011,1,4,10
67.4,10.56553476,2011,1,4,11
68.5,10.63020543,2011,1,4,12
69.7,13.95953053,2011,1,4,13
70.3,16.95175329,2011,1,4,14
69.1,12.08216251,2011,1,4,15
67.6,15.56885366,2011,1,4,16
65.6,16.0373003,2011,1,4,17
64.7,16.4579054,2011,1,4,18
62.2,19.74724819,2011,1,4,19
62.1,19.09659939,2011,1,4,20
71.2,19.31642644,2011,1,4,21
70.6,14.26062021,2011,1,4,22
63.9,11.71871217,2011,1,4,23
54.8,15.87062305,2011,1,5,0
47.7,11.55961069,2011,1,5,1
43.3,17.7631659,2011,1,5,2
40.9,19.12476647,2011,1,5,3
40.6,15.55684444,2011,1,5,4
40.5,21.35836513,2011,1,5,5
40.8,15.94453696,2011,1,5,6
44.8,17.83963099,2011,1,5,7
52.7,17.12991927,2011,1,5,8
59.1,16.40469194,2011,1,5,9
64.4,14.87129463,2011,1,5,10
68.2,14.12043265,2011,1,5,11
70.6,17.5629532,2011,1,5,12
72.3,12.49876503,2011,1,5,13
73.4,14.86102612,2011,1,5,14
72.9,15.99455588,2011,1,5,15
72.4,19.8890327,2011,1,5,16
71,12.86190566,2011,1,5,17
68.2,21.55946441,2011,1,5,18
64.6,20.81449559,2011,1,5,19
63.9,22.50862334,2011,1,5,20
72.1,28.67622321,2011,1,5,21
72.2,18.50097329,2011,1,5,22
66.2,17.02586656,2011,1,5,23
57.8,15.65891412,2011,1,6,0
50.2,17.44093752,2011,1,6,1
45.4,15.5979804,2011,1,6,2
42.2,9.71628331,2011,1,6,3
41.7,11.99457768,2011,1,6,4
41.8,11.50874277,2011,1,6,5
41.8,10.18268694,2011,1,6,6
45.8,7.301839967,2011,1,6,7
54.4,8.244616766,2011,1,6,8
61.1,10.29711212,2011,1,6,9
67.2,9.024004291,2011,1,6,10
70.9,7.149016524,2011,1,6,11
73.1,6.554002894,2011,1,6,12
75,-0.128316988,2011,1,6,13
75.9,7.438790137,2011,1,6,14
75.4,15.46814735,2011,1,6,15
74.6,16.1938504,2011,1,6,16
71.9,18.45700213,2011,1,6,17
68.3,15.73798998,2011,1,6,18
64.8,19.23243766,2011,1,6,19
63.7,22.72853136,2011,1,6,20
71.9,17.23026385,2011,1,6,21
71.2,21.30058515,2011,1,6,22
65.1,19.91174908,2011,1,6,23
57.2,15.91439748,2011,1,7,0
49.7,9.026160304,2011,1,7,1
44.9,13.1335547,2011,1,7,2
42.5,8.491632271,2011,1,7,3
41.7,10.64848641,2011,1,7,4
41.5,8.388134898,2011,1,7,5
41.9,6.194219558,2011,1,7,6
45.9,9.267687321,2011,1,7,7
54.3,3.405753992,2011,1,7,8
58.2,9.090973588,2011,1,7,9
64.9,8.479373433,2011,1,7,10
68.9,8.809624648,2011,1,7,11
70.9,5.810042076,2011,1,7,12
72.4,9.124720013,2011,1,7,13
73,12.39335791,2011,1,7,14
72.1,10.73445194,2011,1,7,15
71.5,16.85832436,2011,1,7,16
68.9,22.16424422,2011,1,7,17
65.3,21.78692949,2011,1,7,18
62.3,17.35009234,2011,1,7,19
61.4,26.29424115,2011,1,7,20
69.6,14.94840115,2011,1,7,21
69.1,21.95917325,2011,1,7,22
63.5,21.42163042,2011,1,7,23
57.2,20.11359269,2011,1,8,0
51,13.75788214,2011,1,8,1
46.6,10.41734167,2011,1,8,2
42.9,12.32493774,2011,1,8,3
41.4,13.24237688,2011,1,8,4
40.7,10.12324859,2011,1,8,5
38.8,6.040646699,2011,1,8,6
37.9,9.513963985,2011,1,8,7
43.4,8.135139195,2011,1,8,8
49.6,8.309304025,2011,1,8,9
55.8,8.991251652,2011,1,8,10
59.7,4.647211109,2011,1,8,11
61.5,9.9835853,2011,1,8,12
63.6,4.538187521,2011,1,8,13
63.3,9.412626028,2011,1,8,14
61.7,12.80918526,2011,1,8,15
60.3,13.58607038,2011,1,8,16
58.6,11.6509646,2011,1,8,17
57.2,20.29783216,2011,1,8,18
56.6,21.1403785,2011,1,8,19
57,19.52727427,2011,1,8,20
64.3,17.72446654,2011,1,8,21
63.6,15.24039065,2011,1,8,22
59.9,15.15835782,2011,1,8,23
54.1,11.70984952,2011,1,9,0
48.3,8.915104419,2011,1,9,1
43.7,11.49033467,2011,1,9,2
40.4,11.07167732,2011,1,9,3
38.6,8.264100733,2011,1,9,4
37.6,9.636620617,2011,1,9,5
35.3,11.67066329,2011,1,9,6
32.8,7.449440829,2011,1,9,7
35.9,8.179122306,2011,1,9,8
40.8,7.814383234,2011,1,9,9
46.4,6.896289588,2011,1,9,10
51.2,10.01809894,2011,1,9,11
53.7,1.175934785,2011,1,9,12
56.2,3.982759009,2011,1,9,13
56.8,5.038485659,2011,1,9,14
55.8,3.422105329,2011,1,9,15
54.7,9.620181453,2011,1,9,16
53.7,8.247732627,2011,1,9,17
52.9,6.582377836,2011,1,9,18
52.8,9.090406778,2011,1,9,19
54.3,6.120998223,2011,1,9,20
64.7,11.44907179,2011,1,9,21
65.2,6.66003936,2011,1,9,22
59.5,7.197997979,2011,1,9,23
53,8.837083743,2011,1,10,0
45.9,5.859565034,2011,1,10,1
41.6,7.401504624,2011,1,10,2
39.5,6.742165397,2011,1,10,3
38.8,1.250592305,2011,1,10,4
39.1,8.581100365,2011,1,10,5
40.3,6.759854481,2011,1,10,6
44.4,6.086087649,2011,1,10,7
53.1,0.810688599,2011,1,10,8
60.2,0.91082009,2011,1,10,9
66.2,5.224364091,2011,1,10,10
69.9,5.576673735,2011,1,10,11
72.4,2.000710338,2011,1,10,12
74.1,6.710265291,2011,1,10,13
75.4,7.19287169,2011,1,10,14
75.7,4.761913856,2011,1,10,15
75.2,1.657725631,2011,1,10,16
72.8,3.196782776,2011,1,10,17
68.9,5.759151591,2011,1,10,18
65.3,1.006542384,2011,1,10,19
64.4,8.294061499,2011,1,10,20
72.6,7.266267535,2011,1,10,21
71.7,5.303691191,2011,1,10,22
65.2,6.353938132,2011,1,10,23
57,4.508501767,2011,1,11,0
49.4,3.565256922,2011,1,11,1
45,2.877262418,2011,1,11,2
42.7,3.61373181,2011,1,11,3
41.6,4.785065243,2011,1,11,4
